impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
pivot_n5_1492,2019-08-20 00:00:00+00:00,10953.0,2019-12-18 00:00:00+00:00,6430.0,120,-4523.0,-37.69166666666667,-0.004438657109100679,0.5533364026961596,pivot_n5,down,1492,1612
pivot_n5_1494,2019-08-22 00:00:00+00:00,9759.0,2019-09-06 00:00:00+00:00,10939.34,15,1180.3400000000001,78.68933333333334,0.007611701996466534,0.40842730912209174,pivot_n5,up,1494,1509
pivot_n5_1501,2019-08-29 00:00:00+00:00,9321.73,2019-09-06 00:00:00+00:00,10939.34,8,1617.6100000000006,202.20125000000007,0.020002154039614566,0.7664469621160003,pivot_n5,up,1501,1509
pivot_n5_1509,2019-09-06 00:00:00+00:00,10939.34,2020-03-13 00:00:00+00:00,3858.0,189,-7081.34,-37.46740740740741,-0.0055143732890094435,0.6902999190266427,pivot_n5,down,1509,1698
pivot_n5_1514,2019-09-11 00:00:00+00:00,9851.97,2019-10-26 00:00:00+00:00,10540.49,45,688.5200000000004,15.300444444444453,0.0015011688091003006,0.1375509457652896,pivot_n5,up,1514,1559
pivot_n5_1533,2019-09-30 00:00:00+00:00,7701.0,2019-10-26 00:00:00+00:00,10540.49,26,2839.49,109.21115384615383,0.012072070809194781,0.7462888399415608,pivot_n5,up,1533,1559
pivot_n5_1534,2019-10-01 00:00:00+00:00,8535.0,2020-03-13 00:00:00+00:00,3858.0,164,-4677.0,-28.51829268292683,-0.004841624644895529,0.48943917041591767,pivot_n5,down,1534,1698
pivot_n5_1540,2019-10-07 00:00:00+00:00,7762.35,2019-10-26 00:00:00+00:00,10540.49,19,2778.1399999999994,146.21789473684208,0.016102047799725377,0.8541430367054788,pivot_n5,up,1540,1559
pivot_n5_1544,2019-10-11 00:00:00+00:00,8826.0,2020-03-13 00:00:00+00:00,3858.0,154,-4968.0,-32.25974025974026,-0.005373720755609208,0.5365059025825472,pivot_n5,down,1544,1698
pivot_n5_1556,2019-10-23 00:00:00+00:00,7296.44,2019-10-26 00:00:00+00:00,10540.49,3,3244.05,1081.3500000000001,0.12261249120833277,1.0,pivot_n5,up,1556,1559
pivot_n5_1559,2019-10-26 00:00:00+00:00,10540.49,2020-03-13 00:00:00+00:00,3858.0,139,-6682.49,-48.07546762589928,-0.007230756238220432,0.7595986689419808,pivot_n5,down,1559,1698
pivot_n5_1568,2019-11-04 00:00:00+00:00,9600.0,2020-03-13 00:00:00+00:00,3858.0,130,-5742.0,-44.16923076923077,-0.007012416799925025,0.6749083319115315,pivot_n5,down,1568,1698
pivot_n5_1589,2019-11-25 00:00:00+00:00,6526.0,2020-02-13 00:00:00+00:00,10522.51,80,3996.51,49.956375,0.00597153217294385,0.598810198244536,pivot_n5,up,1589,1669
pivot_n5_1593,2019-11-29 00:00:00+00:00,7870.1,2020-03-13 00:00:00+00:00,3858.0,105,-4012.1000000000004,-38.21047619047619,-0.006789731946146218,0.5247233338468212,pivot_n5,down,1593,1698
pivot_n5_1598,2019-12-04 00:00:00+00:00,7080.0,2020-02-13 00:00:00+00:00,10522.51,71,3442.51,48.48605633802817,0.005580885412690262,0.5475191501736681,pivot_n5,up,1598,1669
pivot_n5_1612,2019-12-18 00:00:00+00:00,6430.0,2020-02-13 00:00:00+00:00,10522.51,57,4092.51,71.79842105263158,0.008641091820300156,0.7264497841887396,pivot_n5,up,1612,1669
pivot_n5_1617,2019-12-23 00:00:00+00:00,7688.99,2020-03-13 00:00:00+00:00,3858.0,81,-3830.99,-47.29617283950617,-0.008514080506252101,0.5704555195044678,pivot_n5,down,1617,1698
pivot_n5_1621,2019-12-27 00:00:00+00:00,7053.32,2020-02-13 00:00:00+00:00,10522.51,48,3469.1900000000005,72.27479166666667,0.008333715500950063,0.67105906099498,pivot_n5,up,1621,1669
pivot_n5_1623,2019-12-29 00:00:00+00:00,7531.0,2020-03-13 00:00:00+00:00,3858.0,75,-3673.0,-48.973333333333336,-0.008918385608475696,0.5683862644673969,pivot_n5,down,1623,1698
pivot_n5_1628,2020-01-03 00:00:00+00:00,6854.67,2020-02-13 00:00:00+00:00,10522.51,41,3667.84,89.45951219512196,0.010453331712070536,0.7676649847416377,pivot_n5,up,1628,1669
pivot_n5_1633,2020-01-08 00:00:00+00:00,8469.39,2020-03-13 00:00:00+00:00,3858.0,65,-4611.389999999999,-70.94446153846152,-0.012097070349180616,0.7665287575829846,pivot_n5,down,1633,1698
pivot_n5_1644,2020-01-19 00:00:00+00:00,9194.99,2020-03-13 00:00:00+00:00,3858.0,54,-5336.99,-98.83314814814814,-0.016083515852306954,0.9733135888493889,pivot_n5,down,1644,1698
pivot_n5_1649,2020-01-24 00:00:00+00:00,8216.71,2020-08-02 00:00:00+00:00,12134.29,191,3917.5800000000017,20.51089005235603,0.002041180331831847,0.3798870314281429,pivot_n5,up,1649,1840
pivot_n5_1660,2020-02-04 00:00:00+00:00,9078.05,2020-08-17 00:00:00+00:00,12486.61,195,3408.5600000000013,17.47979487179488,0.0016348587606321596,0.3271198626038619,pivot_n5,up,1660,1855
pivot_n5_1669,2020-02-13 00:00:00+00:00,10522.51,2020-03-13 00:00:00+00:00,3858.0,29,-6664.51,-229.8106896551724,-0.03459889163872757,1.0,pivot_n5,down,1669,1698
pivot_n5_1675,2020-02-19 00:00:00+00:00,9280.98,2020-08-17 00:00:00+00:00,12486.61,180,3205.630000000001,17.80905555555556,0.0016482762527374973,0.3202067029814567,pivot_n5,up,1675,1855
pivot_n5_1686,2020-03-01 00:00:00+00:00,8400.0,2020-08-17 00:00:00+00:00,12486.61,169,4086.6100000000006,24.181124260355034,0.0023457110314450587,0.4212822087373556,pivot_n5,up,1686,1855
pivot_n5_1692,2020-03-07 00:00:00+00:00,9214.67,2020-03-13 00:00:00+00:00,3858.0,6,-5356.67,-892.7783333333333,-0.14510797746993095,1.0,pivot_n5,down,1692,1698
pivot_n5_1698,2020-03-13 00:00:00+00:00,3858.0,2020-08-17 00:00:00+00:00,12486.61,157,8628.61,54.959299363057326,0.007480942392865895,0.9228779962332833,pivot_n5,up,1698,1855
pivot_n5_1705,2020-03-20 00:00:00+00:00,6990.0,2020-03-23 00:00:00+00:00,5678.2,3,-1311.8000000000002,-437.2666666666667,-0.06928209171499064,1.0,pivot_n5,down,1705,1708
pivot_n5_1715,2020-03-30 00:00:00+00:00,5853.0,2020-08-17 00:00:00+00:00,12486.61,140,6633.610000000001,47.38292857142858,0.00541216085610285,0.7513446440676114,pivot_n5,up,1715,1855
