origin_time,origin_price,origin_type,detector_name,quality_score,bar_index
2022-01-24 00:00:00+00:00,32933.33,low,zigzag_pct20.0,1.0,2380
2022-02-10 00:00:00+00:00,45855.0,high,zigzag_pct20.0,1.0,2397
2022-02-24 00:00:00+00:00,34322.0,low,zigzag_pct20.0,1.0,2411
2022-03-28 00:00:00+00:00,48240.0,high,zigzag_pct20.0,1.0,2443
2022-05-12 00:00:00+00:00,25338.53,low,zigzag_pct20.0,1.0,2488
2022-05-31 00:00:00+00:00,32383.96,high,zigzag_pct20.0,1.0,2507
2022-06-18 00:00:00+00:00,17567.45,low,zigzag_pct20.0,1.0,2525
2022-08-15 00:00:00+00:00,25214.57,high,zigzag_pct20.0,1.0,2583
2022-09-07 00:00:00+00:00,18527.0,low,zigzag_pct20.0,1.0,2606
2022-09-13 00:00:00+00:00,22800.0,high,zigzag_pct20.0,1.0,2612
2022-11-21 00:00:00+00:00,15460.0,low,zigzag_pct20.0,1.0,2681
2023-02-21 00:00:00+00:00,25288.88,high,zigzag_pct20.0,1.0,2773
2023-03-10 00:00:00+00:00,19568.52,low,zigzag_pct20.0,1.0,2790
2023-04-14 00:00:00+00:00,31050.0,high,zigzag_pct20.0,1.0,2825
2023-06-15 00:00:00+00:00,24750.0,low,zigzag_pct20.0,1.0,2887
2023-07-13 00:00:00+00:00,31862.21,high,zigzag_pct20.0,1.0,2915
2023-09-11 00:00:00+00:00,24900.0,low,zigzag_pct20.0,1.0,2975
2024-01-11 00:00:00+00:00,49102.29,high,zigzag_pct20.0,1.0,3097
2024-01-23 00:00:00+00:00,38501.0,low,zigzag_pct20.0,1.0,3109
2024-03-14 00:00:00+00:00,73835.57,high,zigzag_pct20.0,1.0,3160
2024-05-01 00:00:00+00:00,56500.0,low,zigzag_pct20.0,1.0,3208
2024-05-21 00:00:00+00:00,71980.0,high,zigzag_pct20.0,1.0,3228
2024-07-05 00:00:00+00:00,53499.9,low,zigzag_pct20.0,1.0,3273
2024-07-29 00:00:00+00:00,70000.0,high,zigzag_pct20.0,1.0,3297
2024-08-05 00:00:00+00:00,49050.01,low,zigzag_pct20.0,1.0,3304
2025-01-20 00:00:00+00:00,109358.01,high,zigzag_pct20.0,1.0,3472
2025-02-28 00:00:00+00:00,78167.81,low,zigzag_pct20.0,1.0,3511
2025-03-02 00:00:00+00:00,95128.88,high,zigzag_pct20.0,1.0,3513
2025-04-07 00:00:00+00:00,74420.69,low,zigzag_pct20.0,1.0,3549
2025-10-06 00:00:00+00:00,126296.0,high,zigzag_pct20.0,1.0,3731
2025-11-21 00:00:00+00:00,80524.65,low,zigzag_pct20.0,1.0,3777
2026-01-14 00:00:00+00:00,97963.62,high,zigzag_pct20.0,1.0,3831
2026-02-06 00:00:00+00:00,60001.0,low,zigzag_pct20.0,1.0,3854
